dataset               , model        , metric    , n_seeds, rel_diff_seed_%     , t_pvalue              , wilcoxon_pvalue, n_users_total, rel_diff_user_%     , ci_lo_pool             , ci_hi_pool             , p_boot_pool, cohens_d_pool         , seeds_sig_pos, seeds_sig_neg
ml-1m                 , IA-SASRec-Mul, recall@50 ,       5, -0.3755661106815416 , 0.46411530252094707   ,          0.625 ,         30200, -0.3779565959522068 , -0.005596854304635761  , 0.0011920529801324503  ,      0.219 , -0.006863546570182579 ,             0,             1
ml-1m                 , IA-SASRec-Val, mrr@10    ,       5, 1.7409470752089171  , 0.24628720286043712   ,          0.3125,         30200, 1.7317219926005385  , 3.963950646483768e-05  , 0.003764433538315987   ,      0.047 , 0.011682201069674375  ,             2,             0
ml-1m                 , IA-SASRec-Val, mrr@100   ,       5, 1.3457076566125221  , 0.29735157086080866   ,          0.3125,         30200, 1.3285856544268135  , -0.0001991250785494829 , 0.0034518305586434903  ,      0.074 , 0.010416317976520012  ,             2,             0
ml-1m                 , IA-SASRec-Val, mrr@20    ,       5, 1.3691931540342284  , 0.346377327698979     ,          0.4375,         30200, 1.3834092257488644  , -0.00026712121843883407, 0.0034385735568134438  ,      0.08  , 0.010196545723866664  ,             2,             0
ml-1m                 , IA-SASRec-Val, mrr@50    ,       5, 1.3786620711264301  , 0.29494004992960804   ,          0.3125,         30200, 1.363482774002518   , -0.00018938728118372334, 0.0034780074077701067  ,      0.073 , 0.010542889707868831  ,             2,             0
ml-1m                 , IA-SASRec-Val, ndcg@10   ,       5, 1.0629921259842514  , 0.35170324908618716   ,          0.4375,         30200, 1.0565801435523974  , -0.00038887124419979385, 0.0034330533899375112  ,      0.097 , 0.009457733318522734  ,             2,             0
ml-1m                 , IA-SASRec-Val, ndcg@100  ,       5, 0.18233915082052057 , 0.751846547227713     ,          0.625 ,         30200, 0.1941412551565592  , -0.0011311142369823314 , 0.0019926272867069484  ,      0.594 , 0.0032027509484648005 ,             1,             0
ml-1m                 , IA-SASRec-Val, ndcg@20   ,       5, 0.3093922651933699  , 0.7743003091240862    ,          0.8125,         30200, 0.3046721334256564  , -0.0013005479411405847 , 0.0022499106861923702  ,      0.558 , 0.003504114405237734  ,             2,             0
ml-1m                 , IA-SASRec-Val, ndcg@50   ,       5, 0.3496173107814401  , 0.5834975628641401    ,          0.8125,         30200, 0.3411846894741011  , -0.0008769850791568517 , 0.0022622984437996067  ,      0.379 , 0.00500994366332829   ,             2,             0
ml-1m                 , IA-SASRec-Val, recall@10 ,       5, 0.12337615211554066 , 0.9029358693784295    ,          0.8125,         30200, 0.1201489847410789  , -0.0032781456953642385 , 0.0037102649006622427  ,      0.855 , 0.001058011763301257  ,             0,             1
ml-1m                 , IA-SASRec-Val, recall@100,       5, -0.7415737166823686 , 0.0012065781508284734 ,          0.0625,         30200, -0.7446915568078898 , -0.00804635761589404   , -0.0019197019867549714 ,      0.002 , -0.018102284808277105 ,             0,             0
ml-1m                 , IA-SASRec-Val, recall@20 ,       5, -0.9868928296067846 , 0.3070488784302409    ,          0.3125,         30200, -0.9871500297846992 , -0.007517384105960264  , -0.00026407284768212373,      0.036 , -0.011912785402533176 ,             0,             2
ml-1m                 , IA-SASRec-Val, recall@50 ,       5, -0.5817592694870918 , 0.19968930516102606   ,          0.1875,         30200, -0.5852231163130943 , -0.006557119205298013  , -6.539735099338201e-05 ,      0.046 , -0.011044432498865511 ,             0,             1
steam-15k             , IA-SASRec-Add, mrr@10    ,       5, -3.618906942392911  , 0.056197942579593256  ,          0.0625,         71505, -3.607468807230797  , -0.0015387878026067662 , -0.00039643303887063096,      0.001 , -0.012378907051027269 ,             0,             2
steam-15k             , IA-SASRec-Add, mrr@100   ,       5, -2.9850746268656736 , 0.03916750900470474   ,          0.0625,         71505, -2.9076451726901964 , -0.0015743987499030187 , -0.00044360813969545514,      0.0005, -0.013447160760722818 ,             0,             2
steam-15k             , IA-SASRec-Add, mrr@20    ,       5, -3.3420707732634356 , 0.04499541924512445   ,          0.0625,         71505, -3.2263845489406333 , -0.0015396705966898455 , -0.0004079569198963878 ,      0.0005, -0.01284365834375228  ,             0,             2
steam-15k             , IA-SASRec-Add, mrr@50    ,       5, -2.9958058717795115 , 0.04470858727968041   ,          0.0625,         71505, -3.0436734948553044 , -0.0015837142713389337 , -0.0004549486054725388 ,      0.0005, -0.013461689071146383 ,             0,             2
steam-15k             , IA-SASRec-Add, ndcg@10   ,       5, -2.5037556334501745 , 0.08845707472568118   ,          0.125 ,         71505, -2.584411972091356  , -0.00168584614712673   , -0.00037028209529175126,      0.005 , -0.011450724275379917 ,             0,             2
steam-15k             , IA-SASRec-Add, ndcg@100  ,       5, -1.4668805867522352 , 0.007462960017912195  ,          0.0625,         71505, -1.4741733429277968 , -0.0018825008654477162 , -0.0007180394598160145 ,      0.0005, -0.016384468083926712 ,             0,             3
steam-15k             , IA-SASRec-Add, ndcg@20   ,       5, -2.169775409212031  , 0.06362171443143756   ,          0.125 ,         71505, -2.1406754694399623 , -0.0017642204451704874 , -0.0004956654435561893 ,      0.002 , -0.01313405695321664  ,             0,             2
steam-15k             , IA-SASRec-Add, ndcg@50   ,       5, -1.9160326852634506 , 0.015667877400828572  ,          0.0625,         71505, -1.893217086720338  , -0.0019318404318463612 , -0.000755598523435249  ,      0.0005, -0.01654004168258563  ,             0,             3
steam-15k             , IA-SASRec-Add, recall@10 ,       5, -1.4237451737451743 , 0.17162060768944504   ,          0.1875,         71505, -1.4509870086046905 , -0.0026291867701559333 , 0.0002377456121949514  ,      0.106 , -0.006132944428857151 ,             0,             0
steam-15k             , IA-SASRec-Add, recall@100,       5, -0.757807248059648  , 0.09592390913672381   ,          0.125 ,         71505, -0.752136752136752  , -0.00447556114956996   , -0.0003356408642752255 ,      0.016 , -0.008759668080269425 ,             0,             1
steam-15k             , IA-SASRec-Add, recall@20 ,       5, -1.278772378516625  , 0.1180398072808198    ,          0.1875,         71505, -1.2835349815886379 , -0.003370393678763723  , -4.195510803440319e-05 ,      0.043 , -0.0076748183659437075,             0,             0
steam-15k             , IA-SASRec-Add, recall@50 ,       5, -1.2451430589897565 , 0.06284520159415982   ,          0.0625,         71505, -1.2534732942266134 , -0.004811202013845186  , -0.0010069225928256765 ,      0.003 , -0.010982026014330609 ,             0,             1
steam-15k             , IA-SASRec-Mul, mrr@10    ,       5, -5.686853766617431  , 0.029259644129653817  ,          0.0625,         71505, -5.665308460804293  , -0.002104940630192361  , -0.0009347070856405871 ,      0.0005, -0.018889509684719624 ,             0,             3
steam-15k             , IA-SASRec-Mul, mrr@100   ,       5, -4.477611940298509  , 0.022143142019784356  ,          0.0625,         71505, -4.433000016472373  , -0.0020898893310609557 , -0.0009772102503373583 ,      0.0005, -0.019888703035466467 ,             0,             3
steam-15k             , IA-SASRec-Mul, mrr@20    ,       5, -4.980340760157275  , 0.033073272100004145  ,          0.0625,         71505, -4.898610143105663  , -0.0020287675640796718 , -0.0009094816598685759 ,      0.0005, -0.018926615963264108 ,             0,             3
